,0
misc_val,-0.00011523100145994856
lot_shape,-0.0008864388549478747
bsmtfin_sf_2,-0.0032559507299270737
sale_type_COD,-0.0033459252045998145
low_qual_fin_sf,-0.004230753628631412
ms_subclass,-0.006853371827563961
condition_1_Artery,-0.0069052800844407155
bsmt_unf_sf,-0.007696227426653659
exterior_1st_Wd Sdng,-0.015327114124087708
foundation_BrkTil,-0.01820172731727049
exterior_1st_AsbShng,-0.03408044639416306
neighborhood_OldTown,-0.06159910856244395
neighborhood_IDOTRR,-0.06844365303963684
